epoch,train_loss,train_acc,val_loss,val_acc
1,12.441553802637142,29.13992297817715,3.8303147694012067,20.72072072072072
2,3.7155345817585506,36.84210526315789,2.846514976776398,36.03603603603604
3,2.276757437702321,39.40949935815148,1.7343262659536827,28.82882882882883
4,1.4767754884372168,43.003851091142494,1.4362228818841882,38.73873873873874
5,1.3118243664311813,48.138639281129656,1.5001682053815137,39.63963963963964
6,1.2913236238531032,49.16559691912708,1.3692448064013645,47.74774774774775
7,1.2452384687969713,51.21951219512195,1.236338683076807,39.63963963963964
8,1.2404964032926058,47.2400513478819,1.422774669286367,49.549549549549546
9,1.193597570004298,52.759948652118105,1.2436447594616864,49.549549549549546
10,1.1778700518516276,52.24646983311938,1.1913928684887585,50.45045045045045
11,1.116281907273808,54.42875481386393,1.1672322932664339,54.95495495495496
12,1.0435546068845267,57.50962772785623,1.1392498027096998,53.153153153153156
13,1.1011401064435693,54.942233632862646,1.2177051123198088,51.35135135135135
14,1.0026659955568278,61.360718870346595,1.0848155429771356,56.75675675675676
15,1.1391275243520431,53.78690629011553,1.1556703238873869,49.549549549549546
16,1.0069891885401197,59.05006418485238,1.0406523040823035,52.25225225225225
17,1.0582555149118769,58.2798459563543,1.1540349947439659,54.95495495495496
18,1.0338376914276544,59.563543003851095,1.313516088434168,50.45045045045045
19,1.0032878806563488,61.360718870346595,1.0484256454416223,57.65765765765766
20,1.0427006216808217,57.25288831835687,1.0981554899129782,53.153153153153156
21,0.9542474263133685,60.97560975609756,1.1226302127580385,54.95495495495496
22,0.9559710469570332,61.23234916559692,1.0396636380805626,54.95495495495496
23,0.9270955223174089,62.77278562259306,1.2220820091866158,58.55855855855856
24,0.9331677914890001,61.23234916559692,1.132386759594754,59.45945945945946
25,0.9169007962108118,63.54300385109114,1.0859266261796694,61.261261261261254
26,1.0071070273819263,58.793324775353014,1.1321342979465518,55.85585585585585
27,0.9663465910606727,63.28626444159179,1.1811846086570807,57.65765765765766
28,0.9845133415388663,59.563543003851095,1.0966876122328613,60.36036036036037
29,0.8506304539826164,64.69833119383826,1.1028635426684543,57.65765765765766
30,0.8924633065604429,62.38767650834403,1.0415222193743732,60.36036036036037
31,0.8812838742301461,63.41463414634146,0.9326385968440288,56.75675675675676
32,0.8594961610929956,64.31322207958921,1.0161857680157498,61.261261261261254
33,1.0014236292422813,58.2798459563543,1.0720200162750106,58.55855855855856
34,0.8707180160153968,64.95507060333762,1.0683064600368877,52.25225225225225
35,0.821321374874213,66.75224646983312,1.0160825886167921,58.55855855855856
36,0.8783123275893949,64.4415917843389,1.1245447966429565,58.55855855855856
37,0.8987746807209793,64.56996148908858,0.9618165804459168,60.36036036036037
38,0.7854552983625557,65.59691912708601,1.1425247181643237,58.55855855855856
39,0.8072623113918672,66.62387676508345,1.1647215458723876,54.95495495495496
40,0.8425091243371731,67.00898587933247,1.0641068402711336,62.16216216216216
41,0.8053370656036749,67.52246469833119,1.1585852047344585,56.75675675675676
42,0.7728174178070832,67.90757381258024,1.1413656333545308,57.65765765765766
43,0.8824014310200193,65.72528883183568,1.1170448580303707,56.75675675675676
44,0.8135226667309909,68.16431322207958,1.3853114961503863,59.45945945945946
45,0.8487442403610925,63.7997432605905,1.1312416620082684,62.16216216216216
46,0.8689544219260651,63.28626444159179,1.1764122505445738,57.65765765765766
47,0.8136839137456843,65.08344030808729,1.2370642004786312,56.75675675675676
48,0.7872110801881635,68.29268292682927,1.0962611995301805,57.65765765765766
49,0.7912367496625143,67.3940949935815,1.3169043665533666,61.261261261261254
50,0.8075739342685841,67.77920410783055,1.2393436882946942,60.36036036036037
51,0.7383807261733862,68.16431322207958,0.9924047637630153,56.75675675675676
52,0.7460787051449386,67.90757381258024,1.0947560974069543,61.261261261261254
53,0.6935352493311842,69.06290115532734,1.3560581443546054,61.261261261261254
54,0.71956522244391,69.83311938382542,1.126110381908245,62.16216216216216
55,0.778640518292536,69.44801026957637,1.0087516071560148,66.66666666666666
56,0.7921182936361114,66.11039794608472,1.0759770000303113,61.261261261261254
57,0.7705436187469913,67.90757381258024,1.113162363971676,62.16216216216216
58,0.7611082206182517,68.54942233632862,1.0939956731624432,62.16216216216216
59,0.7128683967523,68.93453145057767,1.4690176119675507,58.55855855855856
60,0.7985253956871865,69.3196405648267,1.0529701409039196,61.261261261261254
61,0.7531823954319005,67.00898587933247,0.9880351000003986,59.45945945945946
62,0.6801695632383667,72.01540436456996,1.1450330695590458,58.55855855855856
63,0.7419862637776925,67.90757381258024,1.0766999334902376,55.85585585585585
64,0.7246260340008718,71.2451861360719,1.4245603814855352,54.95495495495496
65,0.7912350461479941,67.52246469833119,0.9722249561601931,60.36036036036037
66,0.7263080608554002,71.2451861360719,0.869435500991237,64.86486486486487
67,0.7011095866159236,70.47496790757381,1.0741472308700148,61.261261261261254
68,0.7476160760409413,69.44801026957637,1.0485477146801647,57.65765765765766
69,0.7458932003405648,69.70474967907575,1.144837388047227,57.65765765765766
70,0.691323797877242,74.32605905006419,1.33461230939573,54.95495495495496
71,0.7288649633851988,70.47496790757381,1.2281602331109949,57.65765765765766
72,0.6144499567568072,74.8395378690629,1.2113318980277121,57.65765765765766
73,0.7105519459397557,71.50192554557124,0.9805167161666595,58.55855855855856
74,0.6935677572759645,71.63029525032091,1.5180761062347137,59.45945945945946
75,0.6641554538643559,74.45442875481386,1.3326389918456207,59.45945945945946
76,0.6378846463863289,75.4813863928113,1.085583783484794,63.06306306306306
77,0.6557406445675851,72.78562259306803,1.252888279992181,54.95495495495496
78,0.6509249524066323,74.19768934531452,1.2181358874381125,64.86486486486487
79,0.7026863598165525,70.60333761232349,0.9372189259743905,60.36036036036037
80,0.6590431913331782,73.55584082156611,1.1207929914062087,59.45945945945946
81,0.7081915172287986,73.0423620025674,1.1759533431078937,54.054054054054056
82,0.6601767012029313,74.19768934531452,1.2071890047004632,57.65765765765766
83,0.6881120105456938,72.27214377406932,1.117518975928023,58.55855855855856
84,0.6462696941428374,73.81258023106547,1.0006517998807065,62.16216216216216
85,0.6316273855918179,73.0423620025674,0.9896201647079743,64.86486486486487
86,0.5906975065024429,75.4813863928113,0.9975936971269213,62.16216216216216
87,0.6195354650660259,74.96790757381258,0.9780121719515001,57.65765765765766
88,0.6560010174731694,72.400513478819,1.3013231217324197,60.36036036036037
89,0.6128500788753544,74.19768934531452,1.1340019187411747,69.36936936936937
90,0.6230154289972798,75.09627727856227,1.1814507374892365,59.45945945945946
91,0.6507942215545492,75.73812580231065,1.0234193211203222,59.45945945945946
92,0.595543229304474,75.09627727856227,1.14257102399259,62.16216216216216
93,0.615584008730422,74.71116816431322,1.047760954848281,59.45945945945946
94,0.6204560702817278,74.8395378690629,1.1012662273269516,63.96396396396396
95,0.6067704837649717,74.19768934531452,1.2922866376670632,58.55855855855856
96,0.5949160779739069,75.22464698331194,1.1739276164286845,57.65765765765766
97,0.5915373119600931,75.09627727856227,1.1295484250730223,59.45945945945946
98,0.6598772028597389,73.81258023106547,1.0153434298059962,60.36036036036037
99,0.589497185679241,75.35301668806162,1.049090839721061,59.45945945945946
100,0.5567837055289546,78.5622593068036,1.2222622289313927,56.75675675675676
